Taxon,counts,CommonName,tms
Microcebus murinus,2,Gray mouse lemur,"Gray mouse lemur,Madame Berthe's mouse lemur,Brown mouse lemur,Mouse lemur,Anosy mouse lemur,Goodman's mouse lemur,Lemur,Golden-brown mouse lemur,List of lemur species,Arboreal locomotion"
Microcebus rufus,2,Brown mouse lemur,"Brown mouse lemur,Golden-brown mouse lemur,List of lemur species,Cheirogaleidae,List of primates,Gray mouse lemur,Mouse lemur,Ring-tailed lemur,List of primates of Africa,Madame Berthe's mouse lemur"
Equus africanus,2,African wild ass,"African wild ass,Donkey,Somali wild ass,Equidae,Grévy's zebra,Asinus,Nubian wild ass,Horse,Plains zebra,Zebra"
Falco pelegrinoides,2,Peregrine falcon,"Peregrine falcon,Barbary falcon,List of Falconidae,Shaheen falcon,List of species protected by CITES Appendix I,Bird control,List of endangered and protected species of China,Barbary (disambiguation),List of birds of Palestine,Southwestern Arabian montane woodlands"
Lygodactylus williamsi,2,Lygodactylus williamsi,"Lygodactylus williamsi,Lygodactylus,Wild Place Project,Bristol Zoo,Electric blue (color),Herpetoculture,Kimboza Forest,Blue anole,List of species protected by CITES Appendix I,List of critically endangered reptiles"
Balearica pavonina,2,Black crowned crane,"Black crowned crane,Balearica,Crane (bird),Grey crowned crane,Crowned crane,Lake Chad,List of national birds,Coat of arms of Uganda,Columbus Zoo and Aquarium,Waza National Park"
Gorilla gorilla,2,Gorilla,"Gorilla,Mountain gorilla,Western gorilla,Eastern gorilla,Western lowland gorilla,Snowflake (gorilla),Shabani (gorilla),Homininae,Koko (gorilla),Eastern lowland gorilla"
Pan paniscus,2,Bonobo,"Bonobo,Self-domestication,Pan (genus),Hominidae,List of primates,Kanzi,Primate,Sex position,Hominini,Mirror test"
Eulemur albifrons,2,White-headed lemur,"White-headed lemur,Common brown lemur,True lemur,Lemuridae,Black lemur,List of primates,Crowned lemur,List of lemur species,Red lemur,Red-fronted lemur"
Amazona vinacea,2,Vinaceous-breasted amazon,"Vinaceous-breasted amazon,Amazon parrot,List of amazon parrots,List of Psittaciformes by population,List of species protected by CITES Appendix I,List of birds of South America,Androglossini,Serra Geral National Park,Serra da Canastra National Park,Saffron toucanet"
Anodorhynchus leari,2,Lear's macaw,"Lear's macaw,Anodorhynchus,List of macaws,Macaw,Glaucous macaw,St. Croix macaw,Guadeloupe amazon,Caatinga,Arini (tribe),United States Fish and Wildlife Service list of endangered mammals and birds"
Cyanopsitta spixii,2,Spix's macaw,"Spix's macaw,Macaw,List of macaws,List of animals that are extinct in the wild,List of South American animals extinct in the Holocene,Carolina parakeet,Isabella Stewart Gardner Museum,List of extinct birds in the wild,Caatinga,Brazilian Institute of Environment and Renewable Natural Resources"
Eunymphicus cornutus,2,Horned parakeet,"Horned parakeet,Ouvea parakeet,E. cornutus,Eunymphicus,Broad-tailed parrot,Platycercinae,List of species protected by CITES Appendix I,Red-capped parrot,List of Psittaciformes by population,List of birds of New Caledonia"
Spheniscus humboldti,2,Humboldt penguin,"Humboldt penguin,Penguin,Grape-kun,Banded penguin,Flightless bird,Wildlife of Chile,List of Sphenisciformes by population,Spheniscus muizoni,Alexander von Humboldt,Columbus Zoo and Aquarium"
Geochelone elegans,2,Indian star tortoise,"Indian star tortoise,Geochelone,Tortoise,Camallanus,G. elegans,Radiated tortoise,Eastern Ghats,Red-eared slider,Burmese star tortoise,Mycoplasma agassizii"
Testudo kleinmanni,2,Kleinmann's tortoise,"Kleinmann's tortoise,Greek tortoise,Tortoise,List of reptiles of Israel,Testudo (genus),Kleinmann,List of critically endangered reptiles,List of species protected by CITES Appendix I,List of reptiles of Egypt,Ranavirus"
Melursus ursinus,2,Sloth bear,"Sloth bear,Sri Lankan sloth bear,Sun bear,M. ursinus,Ursinae,Gudekote Wildlife Sanctuary,Giant panda,Free the Bears Fund,Ursid hybrid,List of largest land carnivorans"
Aquila chrysaetos,2,Golden eagle,"Golden eagle,Aquila (bird),Eagle,Aquila chrysaetos simurgh,List of birds by flight speed,List of national birds,Reproduction and life cycle of the golden eagle,Dietary biology of the golden eagle,European hedgehog,Northern goshawk"
Gyps fulvus,2,Griffon vulture,"Griffon vulture,Gyps,Rüppell's vulture,Himalayan vulture,Vulture,White-rumped vulture,Indian vulture,White-backed vulture,Indian vulture crisis,Bearded vulture"
Acipenser persicus,2,Persian sturgeon,"Persian sturgeon,Acipenser,Sturgeon,White sturgeon,Russian sturgeon,Atlantic sturgeon,Lake sturgeon,Green sturgeon,Chinese sturgeon,European sea sturgeon"
Huso dauricus x acipenser schrenckii,2,Huso,"Huso,White sturgeon,Beluga (sturgeon),Sturgeon,Dabry's sturgeon,Lake sturgeon,Adriatic sturgeon,Atlantic sturgeon,Green sturgeon,Chinese paddlefish"
Astreopora spp.,2,Stony corals,"List of threatened species of the Philippines,List of marine cnidarians of South Africa,List of the Mesozoic life of Texas"
Caiman crocodilus,2,Spectacled caiman,"Spectacled caiman,Yacare caiman,Caiman,Black caiman,Caiman (genus),Alligatoridae,Smooth-fronted caiman,Cuvier's dwarf caiman,Capybara,Alligator"
Paleosuchus palpebrosus,2,Cuvier's dwarf caiman,"Cuvier's dwarf caiman,Caiman,Paleosuchus,Alligator,Smooth-fronted caiman,Alligatoridae,Smallest organisms,Dwarf crocodile,Amazon River,Jacarea"
Paleosuchus trigonatus,2,Smooth-fronted caiman,"Smooth-fronted caiman,Cuvier's dwarf caiman,Paleosuchus,Caiman,Alligatoridae,Jacarea,Neosuchia,Mourasuchus,Columbus Zoo and Aquarium,List of crocodilians"
Abronia lythrochila,2,Abronia lythrochila,"Abronia lythrochila,Abronia (lizard),Chiapas,List of least concern reptiles"
Epicrates alvarezi,2,Epicrates alvarezi,"Epicrates alvarezi,Epicrates (snake),Rainbow boa,List of snakes by scientific name,List of boine species and subspecies"
Epicrates angulifer,2,Chilabothrus angulifer,"Chilabothrus angulifer,List of largest snakes,Diergaarde Blijdorp,List of boine species and subspecies,Cuban dry forests,IUCN Red List near threatened species (Animalia),List of snakes by scientific name"
Eryx jaculus,2,Eryx jaculus,"Eryx jaculus,Eryx johnii,Eryx colubrinus,Eryx (snake),Eryx elegans,List of erycine species and subspecies,List of snakes of Jordan,Korission Lagoon,List of reptiles of Egypt,Laocoön and His Sons"
Gongylophis conicus,2,Eryx conicus,"Eryx conicus,Eryx (snake),List of reptiles of Nepal"
Gongylophis muelleri,2,Eryx muelleri,"Eryx muelleri,Eryx conicus,Eryx (snake),Fritz Müller (doctor)"
Ammotragus lervia,2,Barbary sheep,"Barbary sheep,Caprinae,Andalusia,Ovis,Qattara Depression,Bovidae,Round Head Period,List of even-toed ungulates by population,Fada Archei Faunal Reserve,Mediterranean conifer and mixed forests"
Damaliscus pygargus pygargus,2,Bontebok,"Bontebok,Blesbok,Siberian roe deer,Alcelaphinae,Damaliscus,Damaliscus lunatus,Topi,List of domesticated animals,List of species protected by CITES Appendix II,Roe deer"
Ovis ammon,2,Argali,"Argali,Marco Polo sheep,Mouflon,Ovis,Altai argali,Caprinae,European mouflon,Bighorn sheep,Allan Octavian Hume,Nikolai Severtzov"
Lycalopex griseus,2,South American gray fox,"South American gray fox,South American fox,Darwin's fox,Caninae,Canini (tribe),Fox,Pampas fox,Patagonia,Cerdocyonina,Maned wolf"
Caryophyllia huinayensis,2,Caryophyllia,"Caryophyllia,Swiftia comauensis"
Desmophyllum dianthus,2,Desmophyllum,"Desmophyllum,Aquaculture in Chile,Swiftia comauensis,Anton Dohrn Seamount,Vital effects"
Euphyllia paradivisa,2,Euphyllia paradivisa,"Euphyllia paradivisa,Euphyllia,Euphyllia divisa,Euphylliidae,IUCN Red List vulnerable species (Animalia),List of vulnerable invertebrates"
Callithrix argentata,2,Silvery marmoset,"Silvery marmoset,Pygmy marmoset,Black-tailed marmoset,Schneider's marmoset,Kwaza language,List of New World monkey species,Simia,IUCN Red List near threatened species (Animalia),IUCN Red List endangered species (Animalia),List of Psychotria species"
Cercopithecus lhoesti,2,L'Hoest's monkey,"L'Hoest's monkey,Preuss's monkey,Blue monkey,Golden monkey,De Brazza's monkey,Hamlyn's monkey,Guenon,Vervet monkey,Red-tailed monkey,Mona monkey"
Cercopithecus wolfi,2,Wolf's mona monkey,"Wolf's mona monkey,Guenon,Dent's mona monkey,Blue monkey,De Brazza's monkey,Golden monkey,Vervet monkey,Crested mona monkey,Red-tailed monkey,Mona monkey"
Chlorocebus sabaeus,2,Green monkey,"Green monkey,Chlorocebus,Vervet monkey,Vero cell,List of primates,List of Old World monkey species,Excitotoxicity,List of mammals of North America,List of primates of Africa,Grivet"
Colobus polykomos,2,King colobus,"King colobus,Ursine colobus,Black-and-white colobus,Zanzibar red colobus,Red colobus,Angola colobus,Mantled guereza,Miss Waldron's red colobus,Black colobus,Bushmeat"
Lophocebus aterrimus,2,Black crested mangabey,"Black crested mangabey,List of Old World monkey species,Opdenbosch's mangabey,List of primates,Uganda mangabey,Johnston's mangabey,Crested mangabey,List of primates of Africa,Kipunji,White-eyelid mangabey"
Theropithecus gelada,2,Gelada,"Gelada,Theropithecus,List of primates,Theropithecus brumpti,Robin Dunbar,Old World monkey,Papionini,List of primates by population,Cercopithecinae,Baboon"
Archaius tigris,2,Tiger chameleon,"Tiger chameleon,Wildlife of Seychelles,List of endangered reptiles,Vallée de Mai,IUCN Red List endangered species (Animalia),Calumma"
Bradypodion thamnobates,2,Natal Midlands dwarf chameleon,"Natal Midlands dwarf chameleon,Bradypodion,Drakensberg dwarf chameleon,Black-headed dwarf chameleon,IUCN Red List near threatened species (Animalia),IUCN Red List vulnerable species (Animalia),List of near threatened reptiles,List of reptiles of South Africa"
Trioceros jacksonii,2,Jackson's chameleon,"Jackson's chameleon,Chameleon,Trioceros,List of invasive species in North America,Achatinella,List of animal species introduced to the Hawaiian Islands,List of reptiles of North America,Chameleon ranching,List of introduced species,List of least concern reptiles"
Clelia clelia,2,Clelia clelia,"Clelia clelia,Mussurana,Clelia scytalina,Clelia,Clelia Haji-Ioannou,Clelia Matania,Clelia Murphy,Clelia (given name),Clelia Farnese,Clelia Iruzun"
Cyclagras gigas,2,Hydrodynastes gigas,"Hydrodynastes gigas,List of species protected by CITES Appendix II"
Smaug mossambicus,2,Smaug (lizard),"Smaug (lizard),Mozambique girdled lizard,Warren's girdled lizard,Smaug barbertonensis,Cordylus,Vivian Frederick Maynard FitzSimons,List of animals referred to as girdled,List of reptiles of South Africa,Zambian grass lizard,List of least concern reptiles"
Crocodylus moreletii,2,Morelet's crocodile,"Morelet's crocodile,Crocodylus,American crocodile,Saltwater crocodile,Nile crocodile,Crocodile,Mecistops,Cuban crocodile,West African crocodile,Orinoco crocodile"
Adelphobates galactonotus,2,Adelphobates galactonotus,"Adelphobates galactonotus,Adelphobates,List of amphibians of Brazil,List of least concern amphibians,Dendrobatinae"
Ameerega silverstonei,2,Ameerega,"Ameerega,Silverstone's poison frog,List of endangered amphibians,Ucayali moist forests,IUCN Red List endangered species (Animalia),IUCN Red List data deficient species (Chordata),List of data deficient amphibians,List of vulnerable amphibians,IUCN Red List near threatened species (Animalia),List of near threatened amphibians"
Excidobates mysteriosus,2,Marañón poison frog,"Marañón poison frog,Excidobates,Eastern Cordillera Real montane forests,List of endangered amphibians,IUCN Red List endangered species (Animalia),Dendrobatinae"
Oophaga pumilio,2,Strawberry poison-dart frog,"Strawberry poison-dart frog,Oophaga,Poison dart frog,Dieffenbachia,Tadpole,Blue,Frog,Acariformes,Great American Interchange,Bastimentos Island"
Phyllobates aurotaenia,2,Phyllobates aurotaenia,"Phyllobates aurotaenia,Phyllobates,Phyllobates sp. aff. aurotaenia,Batrachotoxin,Frog,Toxic bird,Arrow poison,Fauna of Colombia,Dendrobatinae,Pristimantis gaigei"
Ranitomeya benedicta,2,Ranitomeya benedicta,"Ranitomeya benedicta,Ranitomeya,Ranitomeya rubrocephala,Dendrobatinae,List of vulnerable amphibians,IUCN Red List vulnerable species (Animalia)"
Ranitomeya imitator,2,Mimic poison frog,"Mimic poison frog,Ranitomeya,Frog,Ranitomeya summersi,Aposematism,Red-backed poison frog,Poison dart frog,Müllerian mimicry,Dendrobatinae,FAM166C"
Duncanopsammia axifuga,2,Duncanopsammia,"Duncanopsammia,Aquarium of the Bay,List of marine aquarium invertebrate species,List of near threatened invertebrates,IUCN Red List near threatened species (Animalia)"
Heteropsammia cochlea,2,Heteropsammia cochlea,"Heteropsammia cochlea,Heteropsammia,Aspidosiphon muelleri,List of corals of the Houtman Abrolhos,List of least concern invertebrates,Heterocyathus"
Naja sumatrana,2,Equatorial spitting cobra,"Equatorial spitting cobra,Naja,Indian cobra,List of dangerous snakes,Indochinese spitting cobra,Spitting cobra,Caspian cobra,Cape cobra,Najas marina,List of Indonesian endemic animals"
Emydoidea blandingii,2,Blanding's turtle,"Blanding's turtle,Common snapping turtle,Biological immortality,Wood turtle,Emys,List of reptiles of Minnesota,Spotted turtle,List of reptiles of Canada,Torrance Barrens,List of U.S. state reptiles"
Terrapene ornata,2,Terrapene ornata,"Terrapene ornata,Ornate box turtle,Box turtle,Desert box turtle,Polnareff turtle,Great Plains,List of U.S. state reptiles,Turtle,Cryopreservation,Southwestern United States"
Polihierax semitorquatus,2,Pygmy falcon,"Pygmy falcon,Polihierax,Falconidae,White-rumped falcon,List of animals by number of neurons,List of birds of Kenya,List of birds of Ethiopia,List of birds of Angola,List of birds of South Africa,Tawny eagle"
Leptastrea spp.,2,Stony corals,"Coral reefs of Kiribati,List of threatened species of the Philippines,List of marine cnidarians of South Africa,2014 in paleontology"
Platygyra spp.,2,Stony corals,"List of marine cnidarians of South Africa,Oulophyllia crispa"
Felis lybica,2,African wildcat,"African wildcat,Wildcat,Tabby cat,Asiatic wildcat,Southern African wildcat,Sardinian lynx,Corsican wildcat,Felis,Arabian wildcat,Turkish Angora"
Otocolobus manul,2,Pallas's cat,"Pallas's cat,Felidae,Felinae,Sand cat,List of felids,Ikh Bogd Uul National Park,Felid hybrid,Eastern imperial eagle,List of endangered species in Pakistan,List of mammals of India"
Polyphyllia talpina,2,Polyphyllia,"Polyphyllia,List of least concern invertebrates"
Galago demidoff,2,Prince Demidoff's bushbaby,"Prince Demidoff's bushbaby,Galago,Lesser bushbaby,Senegal bushbaby,Mohol bushbaby,Somali bushbaby,Greater galago,Brown greater galago,Northern greater galago,Western dwarf galago"
Paroedura masobe,2,Paroedura masobe,"Paroedura masobe,Paroedura,List of indigenous geckos of Madagascar,List of endangered reptiles,Zahamena National Park,List of reptiles in Madagascar,List of species protected by CITES Appendix II,Ronald Archie Nussbaum,IUCN Red List endangered species (Animalia)"
Phelsuma borbonica,2,Phelsuma,"Phelsuma,Réunion Island day gecko,Agalega day gecko,Wildlife of Réunion,Cheval tree,Harald Meier,Chlumetia borbonica,Reunion Day,Mascarene Islands,IUCN Red List endangered species (Animalia)"
Phelsuma ornata,2,Mauritius ornate day gecko,"Mauritius ornate day gecko,Phelsuma,Nesocodon,Sergey Savelyev (scientist),Mauritius lowland forest day gecko,Réunion Island ornate day gecko,Île Plate,List of endangered reptiles,List of near threatened reptiles,Île Ronde, Mauritius"
